R,G,B
79,67,103
77,63,98
76,63,93
76,63,91
75,62,88
74,60,85
73,59,82
80,67,87
80,67,85
84,70,87
87,72,91
84,69,88
81,66,85
85,70,89
90,78,100
79,77,101
77,78,106
76,77,105
74,74,100
74,71,98
76,72,97
78,72,98
78,73,96
53,45,68
46,38,61
54,45,66
72,63,84
79,70,89
78,69,88
75,66,85
70,60,84
78,69,100
76,59,93
79,62,96
87,67,102
91,71,106
93,73,108
93,71,109
87,65,103
90,68,104
93,73,108
92,75,109
91,76,109
90,76,109
85,76,107
82,76,104
94,90,117
89,86,113
74,74,100
68,68,92
87,89,112
113,115,138
110,112,135
92,90,114
78,72,98
78,69,98
82,73,102
88,79,108
88,79,108
87,80,111
85,78,109
77,72,102
92,87,117
89,84,114
84,81,110
81,78,105
82,79,106
88,85,112
92,92,118
99,97,121
100,96,121
93,89,116
87,83,110
85,81,108
86,80,108
83,77,105
82,75,106
82,75,106
81,74,105
76,67,98
73,64,95
78,69,100
85,76,107
86,77,108
84,75,106
84,73,105
78,67,99
75,64,96
73,60,90
73,60,88
75,62,88
77,64,90
80,68,92
83,71,93
81,69,91
83,70,90
86,73,93
86,73,93
79,66,86
73,59,82
79,65,88
87,77,101
86,84,108
83,84,112
84,85,113
86,86,112
88,85,112
85,83,107
78,74,99
73,68,91
42,37,59
32,24,47
39,31,52
62,55,73
78,71,89
79,72,90
71,64,82
61,53,76
73,64,93
74,58,95
76,59,95
85,65,100
87,67,102
85,63,99
86,64,100
93,71,107
84,64,99
90,73,107
100,87,117
87,78,107
72,66,94
76,73,100
89,89,113
83,83,107
97,97,121
101,99,123
94,90,115
98,92,118
111,103,127
105,95,120
88,75,101
82,69,95
73,63,90
80,70,97
92,81,111
91,80,112
86,76,110
88,78,112
88,81,114
96,89,122
92,85,118
88,83,115
88,83,113
90,87,114
93,91,115
93,91,115
93,91,115
103,99,126
106,101,131
110,105,135
109,104,134
99,94,124
89,84,114
86,82,109
90,86,113
73,69,96
71,65,93
66,60,88
65,59,87
74,68,94
85,76,103
83,74,101
75,66,93
70,60,87
81,68,94
80,67,93
70,57,83
72,59,85
86,73,99
89,76,102
82,69,95
83,70,96
85,72,98
82,69,95
74,61,87
73,60,86
79,66,94
84,71,99
82,73,102
82,79,106
82,82,108
83,83,109
88,88,114
94,91,118
87,85,109
77,75,99
78,74,97
60,57,78
34,29,51
29,24,44
55,51,68
76,72,89
81,74,90
73,66,82
63,55,76
76,67,94
74,60,96
73,57,93
80,63,97
82,63,95
80,59,92
81,60,93
90,70,105
90,73,107
97,82,113
95,84,114
82,76,104
77,74,101
81,81,105
84,86,109
82,84,107
87,87,111
95,93,115
101,96,119
103,93,118
101,87,113
94,78,104
89,73,99
91,77,103
81,68,94
83,70,98
90,77,107
87,76,108
86,75,109
91,81,116
95,85,120
98,91,125
94,87,121
89,84,116
89,84,114
92,88,115
95,93,117
98,96,118
99,97,121
103,99,126
111,106,136
123,118,148
128,123,153
120,115,145
105,100,130
96,92,119
94,90,117
77,73,98
74,70,95
68,62,88
65,59,85
70,65,88
79,74,97
81,76,99
79,71,95
79,69,93
84,72,96
82,70,94
75,63,87
77,64,90
88,75,101
91,81,106
89,79,104
83,73,100
85,75,102
83,72,102
79,68,98
79,68,98
83,72,102
84,73,103
81,72,101
80,77,104
80,80,106
79,79,105
81,81,107
85,83,107
79,77,101
72,70,92
75,73,95
67,64,85
45,42,61
41,38,55
61,58,75
77,73,88
79,75,90
77,73,88
73,69,86
79,71,95
76,60,96
73,56,90
79,59,94
79,60,92
77,56,87
79,58,89
80,61,93
90,73,107
98,83,114
90,79,109
80,74,102
84,81,108
88,88,112
81,81,105
77,77,101
72,72,96
83,81,103
102,97,120
105,95,120
90,76,102
86,70,97
94,78,105
96,82,108
85,71,97
81,68,96
83,70,100
81,67,100
83,69,104
91,79,115
97,85,121
98,88,123
95,85,120
90,83,116
91,84,115
95,89,117
98,94,119
102,98,121
104,100,125
105,101,128
113,108,138
126,121,151
133,128,158
127,123,150
114,110,137
105,99,127
103,97,125
88,82,108
85,79,105
77,71,97
70,64,90
71,66,89
77,72,95
84,76,100
84,76,100
92,82,107
91,78,104
84,74,99
82,72,97
82,72,97
85,75,100
89,79,104
93,83,108
84,75,102
84,75,102
82,73,100
81,72,99
83,74,101
85,76,103
82,73,100
75,69,97
79,76,103
77,77,103
74,74,100
73,73,99
75,73,97
71,69,93
69,67,89
75,73,95
75,72,93
59,56,77
57,52,72
69,65,82
76,72,87
78,74,89
80,76,91
80,76,93
78,70,94
74,60,93
71,56,87
78,61,93
81,62,92
80,60,88
82,62,90
72,53,85
80,63,97
93,78,109
91,80,110
83,77,105
86,82,109
88,86,110
80,80,104
71,71,95
67,65,89
75,71,94
94,89,112
102,92,117
95,81,107
93,77,104
100,84,111
94,78,105
83,69,95
79,66,94
80,67,97
77,63,96
80,66,101
87,76,110
91,79,115
91,79,115
91,81,115
93,83,117
94,87,118
98,92,120
102,96,122
105,100,123
106,100,126
108,104,131
111,106,136
116,111,141
118,113,143
114,110,137
108,104,131
107,101,129
110,104,132
100,94,120
97,91,117
91,85,111
84,78,104
79,74,97
82,74,98
85,77,101
88,78,103
103,90,116
95,82,108
88,78,103
89,79,104
87,77,102
80,70,95
81,71,96
88,78,103
84,75,102
81,72,99
77,68,95
78,70,94
82,74,98
84,76,100
80,72,96
73,67,93
78,75,102
76,76,102
71,71,97
69,69,95
72,70,94
69,67,91
71,69,91
81,79,101
82,79,100
69,66,85
68,64,81
75,71,88
77,73,88
78,74,89
78,74,89
75,71,88
74,66,89
74,61,91
73,58,87
80,64,93
85,66,94
85,65,92
89,69,97
79,60,92
78,61,95
91,76,109
99,88,120
93,84,113
81,77,104
80,77,104
80,77,104
74,72,96
74,72,96
76,72,97
83,74,101
93,83,108
104,90,116
104,88,115
99,83,110
90,74,103
86,70,99
88,73,104
92,77,108
89,74,107
90,74,110
92,78,113
91,77,112
87,73,108
90,79,113
98,87,121
105,94,126
109,98,128
111,102,131
112,103,130
112,103,130
114,108,136
112,107,137
112,108,135
111,107,134
109,103,131
106,100,128
107,101,127
112,106,132
106,97,124
105,96,123
103,95,119
99,89,114
92,82,107
86,76,101
84,74,99
85,75,100
100,87,115
92,79,107
88,78,105
91,81,108
88,78,105
78,68,95
75,67,91
81,73,97
86,78,102
80,72,96
73,68,91
74,69,92
79,74,97
81,76,99
80,75,98
77,73,96
78,76,100
78,75,102
74,71,98
73,70,97
76,74,98
75,73,97
78,74,97
87,83,106
87,82,104
78,73,95
77,72,92
81,77,94
84,77,93
84,77,93
80,73,89
71,64,82
77,69,92
75,62,90
73,60,86
81,67,93
85,69,95
85,67,91
88,70,96
91,74,106
85,70,103
93,79,112
101,90,122
92,83,112
78,72,100
75,71,98
76,73,100
76,74,98
85,81,106
83,77,103
77,68,95
84,74,99
103,90,116
105,91,117
93,77,104
92,76,105
95,79,108
105,90,121
113,98,129
111,96,129
109,94,127
105,91,126
97,83,118
87,73,108
94,80,115
104,90,123
111,100,132
116,105,135
119,108,138
120,110,137
121,110,140
119,113,141
118,113,143
119,115,142
120,116,143
117,111,139
111,105,133
108,102,128
109,103,129
105,96,123
105,96,123
106,96,121
106,96,121
100,90,115
91,81,106
86,76,101
87,74,100
96,83,111
90,77,105
86,76,103
89,79,106
86,76,103
79,69,96
76,68,92
80,72,96
87,79,103
79,74,96
76,71,93
78,73,95
81,76,98
82,79,100
83,80,101
85,81,104
80,78,102
79,76,103
75,72,99
77,74,101
84,82,106
82,80,104
81,77,100
86,82,105
86,81,103
83,78,98
84,80,97
85,81,98
86,79,95
88,81,97
85,78,94
74,67,85
83,75,96
78,65,91
76,62,87
