R,G,B
157,128,114
155,126,112
151,122,108
147,118,104
150,118,107
152,120,109
154,122,111
155,123,112
153,121,110
149,119,108
148,118,107
148,118,107
151,121,110
150,122,110
151,123,111
150,124,111
150,124,111
150,124,111
149,123,110
148,122,109
148,120,109
149,120,112
151,122,114
152,123,115
154,124,114
155,125,115
156,126,115
156,126,115
153,121,108
154,122,109
157,124,109
158,125,110
159,126,111
158,125,110
156,123,106
155,122,107
154,118,106
157,121,109
161,124,115
164,128,116
165,129,117
164,128,116
161,125,111
160,124,110
159,123,107
161,125,109
163,128,109
165,130,111
165,130,111
163,128,108
160,125,106
156,123,104
159,126,107
157,126,106
154,122,107
153,121,106
155,123,112
158,126,115
163,130,121
165,132,123
158,125,118
155,122,115
151,118,109
149,116,107
150,118,107
151,119,108
153,121,108
154,122,109
154,120,111
155,121,112
157,123,114
159,125,116
159,125,116
158,124,115
157,123,114
155,121,112
154,120,111
152,118,109
149,115,106
148,114,105
149,115,106
152,118,109
156,122,113
158,124,115
158,121,112
160,123,114
164,127,118
166,129,120
165,128,119
159,122,113
152,115,106
146,109,100
143,106,97
148,111,102
154,117,108
158,121,112
158,121,112
158,121,112
158,121,112
159,122,113
163,126,117
164,127,118
167,130,121
168,131,122
168,131,123
168,131,125
167,130,124
167,130,124
175,138,132
171,134,126
166,129,120
161,125,113
161,125,111
163,127,111
168,133,114
171,136,117
169,132,113
170,133,114
170,133,114
170,133,114
171,134,115
171,134,115
172,135,117
172,135,117
168,131,113
168,131,113
168,131,115
167,130,114
165,127,114
162,124,111
161,123,110
160,122,109
163,125,112
164,126,113
166,128,115
168,130,117
169,131,118
169,131,118
168,130,117
167,129,116
164,126,115
165,127,116
166,128,117
167,129,118
166,128,117
166,128,117
164,126,115
164,126,113
168,126,112
169,127,111
169,130,113
169,132,114
168,131,113
165,130,111
162,129,110
161,128,109
157,124,105
151,117,108
144,110,101
147,113,104
150,116,107
154,120,111
156,122,113
157,123,114
157,123,114
157,123,113
158,121,112
158,122,110
158,122,110
158,122,110
